player,season,role,team_t,toi_z,age_t,hit,blk,score,score_adj
Nicklaus Perbix,2025,defense,TBL,0.19923483412573811,26.0,50.0,67.0,0.4301960964524613,0.4301960964524613
Landon Slaggert,2025,forward,CHI,-0.708507141743247,22.0,25.0,13.0,0.4299717987249573,0.4299717987249573
Zachary L'Heureux,2025,forward,NSH,-0.07744527403532923,21.0,198.0,25.0,0.42962948035970927,0.42962948035970927
Nikolai Kovalenko,2025,forward,2TM,-0.15752126958528392,25.0,84.0,24.0,0.42934942172059665,0.42934942172059665
Beck Malenstyn,2025,forward,BUF,0.022186317650088824,26.0,191.0,63.0,0.42898694964135103,0.42898694964135103
Adam Fox,2025,defense,NYR,1.2048774871786925,26.0,40.0,108.0,0.4288848573606116,0.4288848573606116
Alexandre Texier,2025,forward,STL,-0.7437875379307656,25.0,20.0,11.0,0.42798804156126313,0.42798804156126313
Mathieu Joseph,2025,forward,STL,-0.13703886794576994,27.0,121.0,36.0,0.42696781099534337,0.42696781099534337
Zack Ostapchuk,2025,forward,2TM,-0.48360233942701647,21.0,110.0,21.0,0.4267066192517825,0.4267066192517825
Matthew Poitras,2025,forward,BOS,-0.6607766582846514,20.0,12.0,10.0,0.42650451704381814,0.42650451704381814
Tyler Tucker,2025,defense,STL,-0.6461397195846549,24.0,81.0,39.0,0.4257973186663435,0.4257973186663435
Simon Edvinsson,2025,defense,DET,1.0891723824553083,21.0,86.0,144.0,0.42548615624018254,0.42548615624018254
Jordan Harris,2025,defense,CBJ,-0.9288039845637468,24.0,23.0,35.0,0.42474640072852254,0.42474640072852254
Will Smith,2025,forward,SJS,0.7131198209196622,19.0,13.0,16.0,0.42457284338705953,0.42457284338705953
Shane Wright,2025,forward,SEA,0.5987211282030415,21.0,54.0,62.0,0.4238589056969482,0.4238589056969482
Blake Lizotte,2025,forward,PIT,-0.06996904296932273,27.0,60.0,29.0,0.4229715344659259,0.4229715344659259
